trade_id,trade_date,settle_date,asset_class,counterparty,side,quantity,price,notional,status,fail_reason,days_to_resolve,actual_settle_date,fail_status,days_late,aging_bucket,estimated_cost
T100000,2026-04-08,2026-04-10,Corporate Bond,Quorum Custody Bank,Sell,118361,91.55,10835495.61,Settled On Time,,,,N/A,0.0,,0.0
T100001,2026-04-29,2026-04-30,Equity,Kestrel Institutional Brokers,Buy,10211,59.39,606410.7,Settled On Time,,,,N/A,0.0,,0.0
T100002,2026-07-31,2026-08-03,Government Bond,Quorum Custody Bank,Sell,693445,102.3,70936707.84,Settled On Time,,,,N/A,0.0,,0.0
T100003,2026-03-17,2026-03-19,Corporate Bond,Everline Global Markets,Buy,1318653,99.83,131637852.86,Settled On Time,,,,N/A,0.0,,0.0
T100004,2026-03-18,2026-03-19,Equity,Fenwick Custody Solutions,Buy,9401,141.69,1332003.76,Settled On Time,,,,N/A,0.0,,0.0
T100005,2026-04-21,2026-04-22,Government Bond,Bellwether Capital Partners,Sell,1943969,100.09,194572152.11,Settled On Time,,,,N/A,0.0,,0.0
T100006,2026-06-15,2026-06-17,Corporate Bond,Northbridge Prime Services,Buy,1476692,101.77,150277666.04,Settled On Time,,,,N/A,0.0,,0.0
T100007,2026-07-22,2026-07-24,Corporate Bond,Oakferry Markets,Buy,1937482,100.11,193956098.94,Settled On Time,,,,N/A,0.0,,0.0
T100008,2026-06-08,2026-06-09,Equity,Fenwick Custody Solutions,Buy,19592,80.73,1581677.94,Settled On Time,,,,N/A,0.0,,0.0
T100009,2026-05-26,2026-05-27,ETF,Harborview Asset Services,Sell,8080,42.11,340281.86,Settled On Time,,,,N/A,0.0,,0.0
T100010,2026-08-03,2026-08-04,Equity,Lindenmoor Securities,Sell,11091,65.31,724396.55,Settled On Time,,,,N/A,0.0,,0.0
T100011,2026-03-30,2026-03-31,Government Bond,Palisade Trading Group,Sell,998987,95.83,95733332.13,Settled On Time,,,,N/A,0.0,,0.0
T100012,2026-08-07,2026-08-11,Corporate Bond,Greystone Trading LLC,Buy,1454732,101.24,147283646.22,Settled On Time,,,,N/A,0.0,,0.0
T100013,2026-04-23,2026-04-27,Corporate Bond,Journeyman Capital,Sell,1692508,98.71,167066746.87,Settled On Time,,,,N/A,0.0,,0.0
T100014,2026-04-16,2026-04-17,Equity,Dunmore & Co.,Sell,16525,19.51,322451.45,Settled On Time,,,,N/A,0.0,,0.0
T100015,2026-08-18,2026-08-19,Equity,Quorum Custody Bank,Buy,17770,37.8,671717.46,Settled On Time,,,,N/A,0.0,,0.0
T100016,2026-06-23,2026-06-24,ETF,Ridgeline Brokerage,Buy,4242,89.34,378981.16,Settled On Time,,,,N/A,0.0,,0.0
T100017,2026-05-14,2026-05-15,Equity,Oakferry Markets,Sell,19647,31.18,612559.45,Settled On Time,,,,N/A,0.0,,0.0
T100018,2026-04-27,2026-04-29,Corporate Bond,Quorum Custody Bank,Buy,149135,99.3,14809737.18,Settled On Time,,,,N/A,0.0,,0.0
T100019,2026-05-15,2026-05-19,Corporate Bond,Palisade Trading Group,Sell,252991,99.37,25138943.6,Settled On Time,,,,N/A,0.0,,0.0
T100020,2026-07-20,2026-07-22,Corporate Bond,Quorum Custody Bank,Buy,881549,100.05,88200953.92,Settled On Time,,,,N/A,0.0,,0.0
T100021,2026-03-25,2026-03-26,Equity,Ironwood Clearing,Sell,13263,30.71,407252.99,Settled On Time,,,,N/A,0.0,,0.0
T100022,2026-03-30,2026-03-31,Government Bond,Everline Global Markets,Buy,572007,100.98,57762827.55,Settled On Time,,,,N/A,0.0,,0.0
T100023,2026-04-22,2026-04-23,Government Bond,Thornfield Global Clearing,Sell,516650,105.05,54271722.68,Settled On Time,,,,N/A,0.0,,0.0
T100024,2026-05-25,2026-05-27,Corporate Bond,Ashford Securities,Sell,286438,97.76,28002946.52,Settled On Time,,,,N/A,0.0,,0.0
T100025,2026-07-23,2026-07-24,Equity,Ironwood Clearing,Buy,18949,55.19,1045871.57,Settled On Time,,,,N/A,0.0,,0.0
T100026,2026-04-06,2026-04-07,ETF,Oakferry Markets,Buy,16802,90.15,1514694.61,Settled On Time,,,,N/A,0.0,,0.0
T100027,2026-07-17,2026-07-20,Equity,Palisade Trading Group,Buy,11890,64.62,768370.83,Settled On Time,,,,N/A,0.0,,0.0
T100028,2026-08-10,2026-08-11,Equity,Northbridge Prime Services,Sell,7449,66.42,494743.07,Settled On Time,,,,N/A,0.0,,0.0
T100029,2026-05-15,2026-05-19,Corporate Bond,Journeyman Capital,Sell,1689100,102.78,173601397.1,Settled On Time,,,,N/A,0.0,,0.0
T100030,2026-08-19,2026-08-21,Corporate Bond,Sable Point Capital,Sell,1718080,103.77,178282315.41,Settled On Time,,,,N/A,0.0,,0.0
T100031,2026-08-06,2026-08-07,Government Bond,Everline Global Markets,Buy,1377401,97.29,134001529.18,Settled On Time,,,,N/A,0.0,,0.0
T100032,2026-07-20,2026-07-21,Equity,Caldera Prime Brokerage,Sell,16237,132.03,2143731.56,Settled On Time,,,,N/A,0.0,,0.0
T100033,2026-05-06,2026-05-07,Equity,Meridian Capital Partners,Buy,17651,76.59,1351914.38,Settled On Time,,,,N/A,0.0,,0.0
T100034,2026-04-21,2026-04-22,ETF,Greystone Trading LLC,Buy,7250,45.11,327076.0,Settled On Time,,,,N/A,0.0,,0.0
T100035,2026-07-31,2026-08-03,Equity,Journeyman Capital,Buy,6156,23.12,142299.16,Settled On Time,,,,N/A,0.0,,0.0
T100036,2026-05-15,2026-05-18,Equity,Journeyman Capital,Sell,19257,62.91,1211546.9,Failed,DK - Trade/Documentation Discrepancy,3.0,2026-05-21,Resolved,3.0,3-5 days,535.1
T100037,2026-03-04,2026-03-05,ETF,Fenwick Custody Solutions,Sell,10778,22.63,243955.1,Settled On Time,,,,N/A,0.0,,0.0
T100038,2026-07-06,2026-07-07,Equity,Thornfield Global Clearing,Sell,8935,82.19,734390.1,Settled On Time,,,,N/A,0.0,,0.0
T100039,2026-04-29,2026-05-01,Corporate Bond,Harborview Asset Services,Sell,1198008,97.91,117293295.83,Settled On Time,,,,N/A,0.0,,0.0
T100040,2026-08-13,2026-08-14,Equity,Northbridge Prime Services,Sell,4681,132.1,618343.47,Settled On Time,,,,N/A,0.0,,0.0
T100041,2026-07-30,2026-08-03,Corporate Bond,Dunmore & Co.,Sell,979200,95.99,93997215.32,Settled On Time,,,,N/A,0.0,,0.0
T100042,2026-03-17,2026-03-19,Corporate Bond,Thornfield Global Clearing,Buy,1711166,95.46,163355166.36,Settled On Time,,,,N/A,0.0,,0.0
T100043,2026-08-07,2026-08-10,Equity,Thornfield Global Clearing,Buy,13764,49.01,674601.64,Settled On Time,,,,N/A,0.0,,0.0
T100044,2026-08-17,2026-08-19,Corporate Bond,Bellwether Capital Partners,Buy,1140192,100.71,114834322.79,Settled On Time,,,,N/A,0.0,,0.0
T100045,2026-07-13,2026-07-15,Corporate Bond,Meridian Capital Partners,Buy,1902209,101.26,192624361.89,Settled On Time,,,,N/A,0.0,,0.0
T100046,2026-04-16,2026-04-17,Equity,Lindenmoor Securities,Sell,4940,49.35,243773.15,Settled On Time,,,,N/A,0.0,,0.0
T100047,2026-06-26,2026-06-29,Equity,Dunmore & Co.,Buy,8137,116.19,945438.8,Settled On Time,,,,N/A,0.0,,0.0
T100048,2026-07-31,2026-08-04,Corporate Bond,Palisade Trading Group,Buy,1613196,100.73,162493220.62,Settled On Time,,,,N/A,0.0,,0.0
T100049,2026-07-23,2026-07-24,Equity,Palisade Trading Group,Sell,10717,61.87,663042.85,Settled On Time,,,,N/A,0.0,,0.0
T100050,2026-05-14,2026-05-15,Equity,Quorum Custody Bank,Buy,9633,17.83,171796.2,Settled On Time,,,,N/A,0.0,,0.0
T100051,2026-07-03,2026-07-06,Equity,Meridian Capital Partners,Buy,2415,15.35,37065.59,Settled On Time,,,,N/A,0.0,,0.0
T100052,2026-05-06,2026-05-08,Corporate Bond,Oakferry Markets,Sell,675207,100.99,68186096.98,Settled On Time,,,,N/A,0.0,,0.0
T100053,2026-04-13,2026-04-15,Corporate Bond,Oakferry Markets,Sell,1297023,97.79,126842207.63,Settled On Time,,,,N/A,0.0,,0.0
T100054,2026-06-26,2026-06-30,Corporate Bond,Palisade Trading Group,Sell,274582,93.53,25681530.68,Settled On Time,,,,N/A,0.0,,0.0
T100055,2026-05-21,2026-05-25,Corporate Bond,Lindenmoor Securities,Buy,103002,98.01,10095034.28,Settled On Time,,,,N/A,0.0,,0.0
T100056,2026-04-07,2026-04-08,ETF,Oakferry Markets,Sell,17729,29.44,522016.9,Settled On Time,,,,N/A,0.0,,0.0
T100057,2026-06-25,2026-06-26,ETF,Bellwether Capital Partners,Sell,3410,133.64,455716.57,Settled On Time,,,,N/A,0.0,,0.0
T100058,2026-04-24,2026-04-27,Equity,Meridian Capital Partners,Sell,3291,198.05,651798.41,Settled On Time,,,,N/A,0.0,,0.0
T100059,2026-06-11,2026-06-12,Equity,Everline Global Markets,Sell,1691,16.45,27818.76,Settled On Time,,,,N/A,0.0,,0.0
T100060,2026-05-01,2026-05-05,Corporate Bond,Ironwood Clearing,Sell,177006,104.46,18490328.97,Settled On Time,,,,N/A,0.0,,0.0
T100061,2026-08-05,2026-08-06,ETF,Palisade Trading Group,Sell,6150,77.08,474014.35,Settled On Time,,,,N/A,0.0,,0.0
T100062,2026-07-29,2026-07-30,ETF,Caldera Prime Brokerage,Buy,4313,60.17,259519.68,Settled On Time,,,,N/A,0.0,,0.0
T100063,2026-05-22,2026-05-26,Corporate Bond,Palisade Trading Group,Sell,1973067,100.29,197887557.44,Settled On Time,,,,N/A,0.0,,0.0
T100064,2026-07-03,2026-07-07,Corporate Bond,Fenwick Custody Solutions,Sell,261574,100.77,26359757.52,Settled On Time,,,,N/A,0.0,,0.0
